thickness_0,material_0,thickness_1,material_1,thickness_2,material_2,thickness_3,material_3,thickness_4,material_4,thickness_5,material_5,thickness_6,material_6,thickness_7,material_7,thickness_8,material_8,thickness_9,material_9,thickness_10,material_10,thickness_11,material_11,thickness_12,material_12,thickness_13,material_13,thickness_14,material_14,thickness_15,material_15,thickness_16,material_16,thickness_17,material_17,thickness_18,material_18,thickness_19,material_19,thickness_20,material_20,thickness_21,material_21,thickness_22,material_22,thickness_23,material_23,thickness_24,material_24,thickness_25,material_25,thickness_26,material_26,thickness_27,material_27,thickness_28,material_28,thickness_29,material_29,thickness_30,material_30,thickness_31,material_31,thickness_32,material_32,thickness_33,material_33,thickness_34,material_34,thickness_35,material_35,thickness_36,material_36,thickness_37,material_37,thickness_38,material_38,thickness_39,material_39,thickness_40,material_40,thickness_41,material_41,thickness_42,material_42,thickness_43,material_43,thickness_44,material_44,thickness_45,material_45,thickness_46,material_46,thickness_47,material_47,thickness_48,material_48,thickness_49,material_49,thickness_50,material_50,thickness_51,material_51,thickness_52,material_52,thickness_53,material_53,thickness_54,material_54,thickness_55,material_55,thickness_56,material_56,thickness_57,material_57,thickness_58,material_58,thickness_59,material_59,reflectivity,absorption,thermal_noise,reflectivity_reward,absorption_reward,thermal_noise_reward
0.2790843,2,0.20287141,1,0.29335818,2,0.203265,1,0.2678742,2,0.3999988,1,0.3999988,2,0.3999988,1,0.2328236,2,0.19783477,1,0.18702766,2,0.20415434,1,0.1689092,2,0.13155413,1,0.12462459,2,0.14036289,1,0.12566796,2,0.1201924,1,0.13775888,2,0.14910112,1,0.18778631,2,0.24072148,1,0.28299013,2,0.30479667,1,0.25297397,2,0.21028565,1,0.15957427,2,0.13268565,1,0.1319785,2,0.12790708,1,0.121410266,2,0.12040954,1,0.13330433,2,0.15384088,1,0.11917957,2,0.115565754,1,0.1176318,2,0.11961068,1,0.115981385,2,0.12239466,1,0.11589963,2,0.13009518,1,0.11486361,2,0.11444393,1,0.1241836,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.8326686590699783,1.952872981488011,2.8774082317019817e-21,0.12940378477690187,0.5725825668852316,0.7886107751478977
0.17590654,1,0.24987191,2,0.25778776,1,0.20686027,2,0.3057492,1,0.25576642,2,0.2586485,1,0.18363833,2,0.16919222,1,0.1615037,2,0.26045665,1,0.20934324,2,0.18484427,1,0.17214149,2,0.21778312,1,0.21870457,2,0.22957769,1,0.3149585,2,0.14884034,1,0.21345377,2,0.3999988,1,0.22612432,2,0.23946896,1,0.24375466,2,0.18298802,1,0.20020476,2,0.16477606,1,0.15233368,2,0.14662482,1,0.16688378,2,0.1524369,1,0.12945378,2,0.14249644,1,0.13295296,2,0.18282712,1,0.15031418,2,0.15383573,1,0.15069585,2,0.18704994,1,0.18136829,2,0.1468471,1,0.19152057,2,0.16738217,1,0.13896498,2,0.13910653,1,0.13764226,2,0.19548714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.8453007733056421,2.405627353505714,2.9879631124362403e-21,0.13508530953908793,0.5608206875180181,0.7862047991336009
0.15488303,2,0.13793312,1,0.16457519,2,0.15952048,1,0.17736778,2,0.16345492,1,0.1397,2,0.14363934,1,0.15190767,2,0.18868044,1,0.1309153,2,0.18702966,1,0.14257388,2,0.15134767,1,0.13813812,2,0.15164165,1,0.12854041,2,0.14180538,1,0.13494779,2,0.13980845,1,0.11798289,2,0.12062411,1,0.11631673,2,0.12906459,1,0.14500968,2,0.1452435,1,0.14158465,2,0.16311675,1,0.17606148,2,0.1913173,1,0.19806473,2,0.21595925,1,0.21121919,2,0.25374535,1,0.2536251,2,0.2581907,1,0.2347017,2,0.25179446,1,0.24409966,2,0.27951303,1,0.24028927,2,0.30664918,1,0.27658552,2,0.30961668,1,0.27044275,2,0.2896618,1,0.31789395,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.866311479364045,0.9018982431661248,3.225228668221334e-21,0.1456509804136259,0.6161619620173336,0.7813380182332288
0.27401805,2,0.2742866,1,0.23121381,2,0.23028697,1,0.16570508,2,0.16070458,1,0.18781224,2,0.18395026,1,0.26139143,2,0.29048407,1,0.1514731,2,0.2394355,1,0.15382043,2,0.30675972,1,0.17209847,2,0.29010504,1,0.25140306,2,0.2324656,1,0.29067734,2,0.21287055,1,0.20287839,2,0.2603318,1,0.23649365,2,0.23327085,1,0.14971355,2,0.18772116,1,0.18813369,2,0.16885869,1,0.15243241,2,0.21718678,1,0.19500443,2,0.15495905,1,0.14175276,2,0.18961875,1,0.16612911,2,0.16696054,1,0.14779477,2,0.19920239,1,0.13129391,2,0.12700373,1,0.13617015,2,0.13387793,1,0.13372555,2,0.12468034,1,0.12625001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.8711406354012244,2.0497513042219015,3.0182473975169856e-21,0.1483140024129725,0.5698513996607975,0.7855617930152802
0.23962425,2,0.29059863,1,0.23567969,2,0.28280187,1,0.26424575,2,0.20963192,1,0.3999988,2,0.30308312,1,0.3999988,2,0.3999988,1,0.27240765,2,0.25846127,1,0.21917555,2,0.35633707,1,0.3999988,2,0.3999988,1,0.3999988,2,0.33833313,1,0.236756,2,0.22519574,1,0.39999896,2,0.25085688,1,0.24022996,2,0.17791316,1,0.19788212,2,0.18718423,1,0.15863985,2,0.14372474,1,0.18743339,2,0.15157834,1,0.12691255,2,0.12266365,1,0.16481665,2,0.14237697,1,0.16553746,2,0.15945135,1,0.15621418,2,0.15113671,1,0.12658082,2,0.12181713,1,0.16433054,2,0.18312754,1,0.14006165,2,0.12949918,1,0.12683284,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.8792195588646565,2.7389210147828646,3.1722574916764996e-21,0.1530005647534733,0.5535013766412274,0.7823917285894062
0.21532598,1,0.3220497,2,0.30283844,1,0.2284191,2,0.19435537,1,0.26165563,2,0.25365067,1,0.2654518,2,0.2401891,1,0.20669612,2,0.2512903,1,0.19781256,2,0.23600967,1,0.21775936,2,0.25006622,1,0.23935752,2,0.18302654,1,0.17357646,2,0.27173477,1,0.17848256,2,0.25507313,1,0.21990567,2,0.20375457,1,0.18372147,2,0.27135286,1,0.19059885,2,0.24037947,1,0.19932595,2,0.24345833,1,0.19770584,2,0.2662061,1,0.24753971,2,0.23001575,1,0.23139358,2,0.19322743,1,0.21912444,2,0.20906034,1,0.18312326,2,0.18015078,1,0.21246919,2,0.21456477,1,0.18306673,2,0.25174445,1,0.19189098,2,0.19372314,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.8896345893811566,3.766364478970556,3.153086691987311e-21,0.15952783609410962,0.5355323707864789,0.7827775601676255
0.13737056,2,0.1186468,1,0.124598786,2,0.17096093,1,0.15987203,2,0.13094482,1,0.15430972,2,0.17809021,1,0.17635511,2,0.12451751,1,0.13914976,2,0.16620645,1,0.15061587,2,0.174061,1,0.16168106,2,0.13615322,1,0.14576966,2,0.15302736,1,0.13851921,2,0.12783527,1,0.14293385,2,0.11973179,1,0.15702142,2,0.12877588,1,0.122779645,2,0.1449041,1,0.1727475,2,0.23686749,1,0.23039532,2,0.27438873,1,0.2751061,2,0.262932,1,0.24773681,2,0.29908475,1,0.28053778,2,0.276872,1,0.2538228,2,0.26513693,1,0.28120598,2,0.27608693,1,0.2588308,2,0.28065172,1,0.25417548,2,0.2935958,1,0.25424394,2,0.25755343,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.8899894577342311,0.7117382114161133,3.274334400955558e-21,0.15976094909749536,0.6295192368571819,0.780377031962922
0.29435864,2,0.2514512,1,0.29281145,2,0.25824118,1,0.25398093,2,0.30400178,1,0.25610876,2,0.3071944,1,0.21677674,2,0.21959442,1,0.20516387,2,0.23245569,1,0.2136089,2,0.23558404,1,0.15355888,2,0.21759155,1,0.1924184,2,0.1614965,1,0.22084992,2,0.24020885,1,0.22658032,2,0.19812651,1,0.19122471,2,0.2433035,1,0.18463232,2,0.18191916,1,0.14768772,2,0.20164075,1,0.22911023,2,0.20101303,1,0.14012195,2,0.14527611,1,0.1823428,2,0.21151285,1,0.16228046,2,0.16308786,1,0.15667178,2,0.18977053,1,0.22915453,2,0.17889428,1,0.18080725,2,0.21966182,1,0.22084284,2,0.19395426,1,0.14089996,2,0.17871962,1,0.18145879,2,0.16808303,1,0.23703793,2,0.18380001,1,0.14265528,2,0.1993477,1,0.22225931,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.8928543617781977,3.103997582786611,3.156370995244874e-21,0.1616709173172178,0.546443047262649,0.7827112885989947
0.26590556,1,0.29049063,2,0.2926528,1,0.22035223,2,0.24633804,1,0.32491326,2,0.24853799,1,0.30772966,2,0.3515908,1,0.2452689,2,0.18805578,1,0.1232381,2,0.112270996,1,0.29820216,2,0.3999988,1,0.3829349,2,0.13930525,1,0.19624653,2,0.15640593,1,0.16455919,2,0.18518639,1,0.16193193,2,0.13842538,1,0.12664242,2,0.11463482,1,0.11445716,2,0.14371745,1,0.16709958,2,0.15788159,1,0.1355681,2,0.13790631,1,0.15286313,2,0.14898995,1,0.19302686,2,0.20627224,1,0.2649105,2,0.26718816,1,0.30791003,2,0.29730496,1,0.33422044,2,0.30291265,1,0.30180055,2,0.19039047,1,0.18241553,2,0.16309917,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.8969220726478747,1.5427036804277685,3.2399695363557976e-21,0.16447238710788187,0.5858819408538399,0.781047966365374
0.3999988,2,0.3866795,1,0.16618657,2,0.23831776,1,0.22347853,2,0.25109735,1,0.2372146,2,0.23719233,1,0.31420776,2,0.18957293,1,0.25200438,2,0.24575916,1,0.26243016,2,0.26562986,1,0.29562712,2,0.24088937,1,0.15487249,2,0.2800453,1,0.28937536,2,0.1777139,1,0.1858736,2,0.14531958,1,0.24035908,2,0.18849549,1,0.23601967,2,0.14042595,1,0.18628576,2,0.19928706,1,0.17259465,2,0.18849838,1,0.1915607,2,0.20757124,1,0.18422055,2,0.13555586,1,0.12791601,2,0.15192878,1,0.15710875,2,0.1364189,1,0.15126131,2,0.17053044,1,0.15224013,2,0.15456492,1,0.15154906,2,0.1379756,1,0.13634785,2,0.13803865,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9481927816223553,3.4683812757592354,3.1633583257025014e-21,0.21426828752304242,0.5401817605469251,0.7825705329358574
